"No.","Time","Source","Destination","Length","wsize","ack_rtt"
"130","1563304574.166975","88.210.175.226","137.50.19.227","60","65535",""
"131","1563304574.169204","88.210.175.226","137.50.19.227","60","65535","0.043879000"
"132","1563304574.169219","137.50.19.227","88.210.175.226","2974","31088",""
"133","1563304574.169567","88.210.175.226","137.50.19.227","60","65535",""
"134","1563304574.171292","88.210.175.226","137.50.19.227","60","65535","0.042830000"
"135","1563304574.171315","137.50.19.227","88.210.175.226","2974","31088",""
"136","1563304574.173532","88.210.175.226","137.50.19.227","60","65535",""
"137","1563304574.173544","137.50.19.227","88.210.175.226","1514","31088",""
"138","1563304574.174849","88.210.175.226","137.50.19.227","60","65535","0.045800000"
"139","1563304574.177207","88.210.175.226","137.50.19.227","60","65535",""
"140","1563304574.177224","137.50.19.227","88.210.175.226","2974","31088",""
"141","1563304574.178265","88.210.175.226","137.50.19.227","60","65535","0.044718000"
"142","1563304574.180320","88.210.175.226","137.50.19.227","60","65535",""
"143","1563304574.180336","137.50.19.227","88.210.175.226","2974","31088",""
"144","1563304574.181203","88.210.175.226","137.50.19.227","60","65535","0.043769000"
"145","1563304574.181214","137.50.19.227","88.210.175.226","1514","31088",""
"146","1563304574.184468","88.210.175.226","137.50.19.227","60","65535","0.046155000"
"147","1563304574.184476","88.210.175.226","137.50.19.227","60","65535",""
"148","1563304574.184486","137.50.19.227","88.210.175.226","2974","31088",""
"149","1563304574.186294","88.210.175.226","137.50.19.227","60","65535","0.046133000"
"150","1563304574.186311","137.50.19.227","88.210.175.226","1514","31088",""
"151","1563304574.186481","88.210.175.226","137.50.19.227","60","65535","0.043713000"
"152","1563304574.188942","88.210.175.226","137.50.19.227","60","65535",""
"153","1563304574.188948","137.50.19.227","88.210.175.226","2974","31088",""
"154","1563304574.189545","88.210.175.226","137.50.19.227","60","65535","0.043303000"
"155","1563304574.189566","137.50.19.227","88.210.175.226","2974","31088",""
"156","1563304574.193123","88.210.175.226","137.50.19.227","60","65535",""
"157","1563304574.193148","137.50.19.227","88.210.175.226","1514","31088",""
"158","1563304574.193156","88.210.175.226","137.50.19.227","60","65535","0.045138000"
"159","1563304574.194560","88.210.175.226","137.50.19.227","60","65535","0.045610000"
"160","1563304574.194575","137.50.19.227","88.210.175.226","2974","31088",""
"161","1563304574.196258","88.210.175.226","137.50.19.227","60","65535",""
"162","1563304574.198238","88.210.175.226","137.50.19.227","60","65535","0.046193000"
"163","1563304574.198249","137.50.19.227","88.210.175.226","2974","31088",""
"164","1563304574.198779","88.210.175.226","137.50.19.227","60","65535","0.045199000"
"165","1563304574.201501","88.210.175.226","137.50.19.227","60","65535",""
"166","1563304574.201517","137.50.19.227","88.210.175.226","2974","31088",""
"167","1563304574.202227","88.210.175.226","137.50.19.227","60","65535","0.045365000"
"168","1563304574.203905","88.210.175.226","137.50.19.227","60","65535",""
"169","1563304574.203921","137.50.19.227","88.210.175.226","2974","31088",""
"170","1563304574.205060","88.210.175.226","137.50.19.227","60","65535","0.045002000"
"171","1563304574.205071","137.50.19.227","88.210.175.226","1514","31088",""
"172","1563304574.207188","88.210.175.226","137.50.19.227","60","65535",""
"173","1563304574.208404","88.210.175.226","137.50.19.227","60","65535","0.047271000"
"174","1563304574.208415","137.50.19.227","88.210.175.226","2974","31088",""
"175","1563304574.210123","88.210.175.226","137.50.19.227","60","65535",""
"176","1563304574.210134","137.50.19.227","88.210.175.226","1514","31088",""
"177","1563304574.211106","88.210.175.226","137.50.19.227","60","65535","0.047244000"
"178","1563304574.213154","88.210.175.226","137.50.19.227","60","65535","0.047301000"
"179","1563304574.213172","137.50.19.227","88.210.175.226","2974","31088",""
"180","1563304574.214339","88.210.175.226","137.50.19.227","60","65535",""
"181","1563304574.215768","88.210.175.226","137.50.19.227","60","65535","0.046549000"
"182","1563304574.215797","137.50.19.227","88.210.175.226","2974","31088",""
"183","1563304574.218417","88.210.175.226","137.50.19.227","60","65535",""
"184","1563304574.218440","137.50.19.227","88.210.175.226","1514","31088",""
"185","1563304574.218868","88.210.175.226","137.50.19.227","60","65535","0.047553000"
"186","1563304574.221114","88.210.175.226","137.50.19.227","60","65535","0.047570000"
"187","1563304574.221127","137.50.19.227","88.210.175.226","2974","31088",""
"188","1563304574.221918","88.210.175.226","137.50.19.227","60","65535",""
"189","1563304574.221935","137.50.19.227","88.210.175.226","2974","31088",""
"190","1563304574.223531","88.210.175.226","137.50.19.227","60","65535","0.046307000"
"191","1563304574.225088","88.210.175.226","137.50.19.227","60","65535",""
"192","1563304574.225100","137.50.19.227","88.210.175.226","2974","31088",""
"193","1563304574.226890","88.210.175.226","137.50.19.227","60","65535","0.046554000"
"194","1563304574.229287","88.210.175.226","137.50.19.227","60","65535","0.048073000"
"195","1563304574.229305","137.50.19.227","88.210.175.226","2974","31088",""
"196","1563304574.229959","88.210.175.226","137.50.19.227","60","65535",""
"197","1563304574.230783","88.210.175.226","137.50.19.227","60","65535","0.046297000"
"198","1563304574.230800","137.50.19.227","88.210.175.226","2974","31088",""
"199","1563304574.232521","88.210.175.226","137.50.19.227","60","65535","0.046210000"
"200","1563304574.232533","137.50.19.227","88.210.175.226","1514","31088",""
"201","1563304574.234011","88.210.175.226","137.50.19.227","60","65535",""
"202","1563304574.234034","137.50.19.227","88.210.175.226","1514","31088",""
"203","1563304574.235496","88.210.175.226","137.50.19.227","60","65535","0.046548000"
"204","1563304574.238282","88.210.175.226","137.50.19.227","60","65535",""
"205","1563304574.238307","137.50.19.227","88.210.175.226","2974","31088",""
"206","1563304574.240116","88.210.175.226","137.50.19.227","60","65535","0.050550000"
"207","1563304574.240163","88.210.175.226","137.50.19.227","60","65535","0.047015000"
"208","1563304574.240171","137.50.19.227","88.210.175.226","2974","31088",""
"209","1563304574.243323","88.210.175.226","137.50.19.227","60","65535",""
"210","1563304574.243348","137.50.19.227","88.210.175.226","1514","31088",""
"211","1563304574.244191","88.210.175.226","137.50.19.227","60","65535","0.049616000"
"212","1563304574.244961","88.210.175.226","137.50.19.227","60","65535",""
"213","1563304574.244979","137.50.19.227","88.210.175.226","2974","31088",""
"214","1563304574.245958","88.210.175.226","137.50.19.227","60","65535","0.047709000"
"215","1563304574.248306","88.210.175.226","137.50.19.227","60","65535",""
"216","1563304574.248324","137.50.19.227","88.210.175.226","2974","31088",""
"217","1563304574.248964","88.210.175.226","137.50.19.227","60","65535","0.047447000"
"218","1563304574.248981","137.50.19.227","88.210.175.226","1514","31088",""
"219","1563304574.250900","88.210.175.226","137.50.19.227","60","65535",""
"220","1563304574.250913","137.50.19.227","88.210.175.226","2974","31088",""
"221","1563304574.251766","88.210.175.226","137.50.19.227","60","65535","0.047845000"
"222","1563304574.253575","88.210.175.226","137.50.19.227","60","65535","0.048504000"
"223","1563304574.253587","137.50.19.227","88.210.175.226","2974","31088",""
"224","1563304574.254543","88.210.175.226","137.50.19.227","60","65535",""
"225","1563304574.257410","88.210.175.226","137.50.19.227","60","65535","0.048995000"
"226","1563304574.257422","137.50.19.227","88.210.175.226","2974","31088",""
"227","1563304574.259837","88.210.175.226","137.50.19.227","60","65535","0.049703000"
"228","1563304574.260556","88.210.175.226","137.50.19.227","60","65535",""
"229","1563304574.260574","137.50.19.227","88.210.175.226","2974","31088",""
"230","1563304574.261911","88.210.175.226","137.50.19.227","60","65535","0.048739000"
"231","1563304574.261932","137.50.19.227","88.210.175.226","1514","31088",""
"232","1563304574.263079","88.210.175.226","137.50.19.227","60","65535",""
"233","1563304574.264933","88.210.175.226","137.50.19.227","60","65535","0.049136000"
"234","1563304574.264944","137.50.19.227","88.210.175.226","2974","31088",""
"235","1563304574.265546","88.210.175.226","137.50.19.227","60","65535","0.047106000"
"236","1563304574.268019","88.210.175.226","137.50.19.227","60","65535",""
"237","1563304574.268037","137.50.19.227","88.210.175.226","2974","31088",""
"238","1563304574.268414","88.210.175.226","137.50.19.227","60","65535","0.047287000"
"239","1563304574.271027","88.210.175.226","137.50.19.227","60","65535",""
"240","1563304574.271044","137.50.19.227","88.210.175.226","2974","31088",""
"241","1563304574.271822","88.210.175.226","137.50.19.227","60","65535","0.049887000"
"242","1563304574.273580","88.210.175.226","137.50.19.227","60","65535",""
"243","1563304574.273597","137.50.19.227","88.210.175.226","2974","31088",""
"244","1563304574.276446","88.210.175.226","137.50.19.227","60","65535","0.051346000"
"245","1563304574.277120","88.210.175.226","137.50.19.227","60","65535",""
"246","1563304574.277138","137.50.19.227","88.210.175.226","2974","31088",""
"247","1563304574.277844","88.210.175.226","137.50.19.227","60","65535","0.048539000"
"248","1563304574.280992","88.210.175.226","137.50.19.227","60","65535",""
"249","1563304574.281005","137.50.19.227","88.210.175.226","2974","31088",""
"250","1563304574.281843","88.210.175.226","137.50.19.227","60","65535","0.051043000"
"251","1563304574.281860","137.50.19.227","88.210.175.226","2974","31088",""
"252","1563304574.282864","88.210.175.226","137.50.19.227","60","65535","0.050331000"
"253","1563304574.285272","88.210.175.226","137.50.19.227","60","65535","0.051238000"
"254","1563304574.285303","137.50.19.227","88.210.175.226","2974","31088",""
"255","1563304574.285466","88.210.175.226","137.50.19.227","60","65535",""
"256","1563304574.287074","88.210.175.226","137.50.19.227","60","65535","0.048767000"
"257","1563304574.287087","137.50.19.227","88.210.175.226","2974","31088",""
"258","1563304574.290070","88.210.175.226","137.50.19.227","60","65535",""
"259","1563304574.290082","137.50.19.227","88.210.175.226","1514","31088",""
"260","1563304574.290250","88.210.175.226","137.50.19.227","60","65535","0.050079000"
"261","1563304574.291864","88.210.175.226","137.50.19.227","60","65535","0.048516000"
"262","1563304574.291882","137.50.19.227","88.210.175.226","2974","31088",""
"263","1563304574.293844","88.210.175.226","137.50.19.227","60","65535",""
"264","1563304574.293861","137.50.19.227","88.210.175.226","1514","31088",""
"265","1563304574.296606","88.210.175.226","137.50.19.227","60","65535","0.051627000"
"266","1563304574.296618","88.210.175.226","137.50.19.227","60","65535",""
"267","1563304574.296628","137.50.19.227","88.210.175.226","2974","31088",""
"268","1563304574.297814","88.210.175.226","137.50.19.227","60","65535","0.049490000"
"269","1563304574.297825","137.50.19.227","88.210.175.226","1514","31088",""
"270","1563304574.300192","88.210.175.226","137.50.19.227","60","65535","0.051211000"
"271","1563304574.300779","88.210.175.226","137.50.19.227","60","65535",""
"272","1563304574.300790","137.50.19.227","88.210.175.226","2974","31088",""
