"No.","Time","Source","Destination","Length","wsize","ack_rtt"
"166","1563559097.628823","137.50.19.137","10.8.0.6","1398","31088",""
"167","1563559097.628852","137.50.19.137","10.8.0.6","1398","31088",""
"168","1563559097.628860","10.8.0.6","137.50.19.137","52","65535","0.000008000"
"169","1563559097.635710","137.50.19.137","10.8.0.6","1398","31088",""
"170","1563559097.667224","137.50.19.137","10.8.0.6","1398","31088",""
"171","1563559097.667251","10.8.0.6","137.50.19.137","52","65535","0.000027000"
"172","1563559097.667303","137.50.19.137","10.8.0.6","1398","31088",""
"173","1563559097.667333","137.50.19.137","10.8.0.6","1398","31088",""
"174","1563559097.667342","10.8.0.6","137.50.19.137","52","65535","0.000009000"
"175","1563559097.667365","137.50.19.137","10.8.0.6","1398","31088",""
"176","1563559097.667389","137.50.19.137","10.8.0.6","1398","31088",""
"177","1563559097.667397","10.8.0.6","137.50.19.137","52","65535","0.000008000"
"178","1563559097.667419","137.50.19.137","10.8.0.6","1398","31088",""
"179","1563559097.706353","137.50.19.137","10.8.0.6","1398","31088",""
"180","1563559097.706382","10.8.0.6","137.50.19.137","52","65535","0.000029000"
"181","1563559098.168235","137.50.19.137","10.8.0.6","1398","31088",""
"182","1563559098.168358","137.50.19.137","10.8.0.6","1398","31088",""
"183","1563559098.168384","10.8.0.6","137.50.19.137","52","65535","0.000026000"
"184","1563559098.168417","137.50.19.137","10.8.0.6","1398","31088",""
"185","1563559098.168443","137.50.19.137","10.8.0.6","1398","31088",""
"186","1563559098.168453","10.8.0.6","137.50.19.137","52","65535","0.000010000"
"187","1563559098.168475","137.50.19.137","10.8.0.6","1398","31088",""
"188","1563559098.168499","137.50.19.137","10.8.0.6","1398","31088",""
"189","1563559098.168508","10.8.0.6","137.50.19.137","52","65535","0.000009000"
"190","1563559098.168530","137.50.19.137","10.8.0.6","1398","31088",""
"191","1563559098.175510","137.50.19.137","10.8.0.6","1398","31088",""
"192","1563559098.175540","10.8.0.6","137.50.19.137","52","65535","0.000030000"
"193","1563559098.206508","137.50.19.137","10.8.0.6","1398","31088",""
