"No.","Time","Source","Destination","Length","wsize","ack_rtt"
"233","1563306256.682076","137.50.19.137","10.8.0.6","1398","243",""
"234","1563306256.682078","137.50.19.137","10.8.0.6","1398","243",""
"235","1563306256.682108","137.50.19.137","10.8.0.6","1398","243",""
"236","1563306256.682110","137.50.19.137","10.8.0.6","1398","243",""
"237","1563306256.682477","10.8.0.6","137.50.19.137","52","1467","0.671740000"
"238","1563306256.682855","137.50.19.137","10.8.0.6","1398","243",""
"239","1563306256.682857","137.50.19.137","10.8.0.6","1398","243",""
"240","1563306256.682859","137.50.19.137","10.8.0.6","1398","243",""
"241","1563306256.682861","137.50.19.137","10.8.0.6","1398","243",""
"242","1563306256.732380","10.8.0.6","137.50.19.137","52","1489","0.721636000"
"243","1563306256.732411","10.8.0.6","137.50.19.137","52","1512","0.721665000"
"244","1563306256.733038","137.50.19.137","10.8.0.6","1398","243",""
"245","1563306256.733045","137.50.19.137","10.8.0.6","1398","243",""
"246","1563306256.733047","137.50.19.137","10.8.0.6","1398","243",""
"247","1563306256.733049","137.50.19.137","10.8.0.6","1398","243",""
"248","1563306256.733583","10.8.0.6","137.50.19.137","52","1535","0.722835000"
"249","1563306256.734182","137.50.19.137","10.8.0.6","1398","243",""
"250","1563306256.734187","137.50.19.137","10.8.0.6","1398","243",""
"251","1563306256.772388","10.8.0.6","137.50.19.137","52","1557","0.761625000"
"252","1563306256.772419","10.8.0.6","137.50.19.137","52","1580","0.761654000"
"253","1563306256.773043","137.50.19.137","10.8.0.6","1398","243",""
"254","1563306256.773050","137.50.19.137","10.8.0.6","1398","243",""
"255","1563306256.773053","137.50.19.137","10.8.0.6","1398","243",""
"256","1563306256.773055","137.50.19.137","10.8.0.6","1398","243",""
"257","1563306256.773523","10.8.0.6","137.50.19.137","52","1603","0.762756000"
"258","1563306256.773575","10.8.0.6","137.50.19.137","52","1625","0.762806000"
"259","1563306256.774155","137.50.19.137","10.8.0.6","1398","243",""
"260","1563306256.774160","137.50.19.137","10.8.0.6","1398","243",""
"261","1563306256.774170","137.50.19.137","10.8.0.6","1398","243",""
"262","1563306256.817367","10.8.0.6","137.50.19.137","52","1648","0.756107000"
"263","1563306256.817429","10.8.0.6","137.50.19.137","52","1670","0.756165000"
"264","1563306256.817852","10.8.0.6","137.50.19.137","52","1693","0.756587000"
"265","1563306256.817936","137.50.19.137","10.8.0.6","1398","243",""
"266","1563306256.817940","137.50.19.137","10.8.0.6","1398","243",""
"267","1563306256.817958","137.50.19.137","10.8.0.6","1398","243",""
"268","1563306256.817961","137.50.19.137","10.8.0.6","1398","243",""
"269","1563306256.818164","137.50.19.137","10.8.0.6","1398","243",""
"270","1563306256.818166","137.50.19.137","10.8.0.6","1398","243",""
"271","1563306256.870829","10.8.0.6","137.50.19.137","52","1716","0.809558000"
"272","1563306256.870968","10.8.0.6","137.50.19.137","52","1738","0.809695000"
"273","1563306256.871407","137.50.19.137","10.8.0.6","1398","243",""
"274","1563306256.871411","137.50.19.137","10.8.0.6","1398","243",""
"275","1563306256.871412","137.50.19.137","10.8.0.6","1398","243",""
"276","1563306256.871414","137.50.19.137","10.8.0.6","1398","243",""
"277","1563306256.909813","10.8.0.6","137.50.19.137","52","1761","0.848534000"
"278","1563306256.909884","10.8.0.6","137.50.19.137","52","1784","0.848604000"
"279","1563306256.910435","137.50.19.137","10.8.0.6","1398","243",""
"280","1563306256.910440","137.50.19.137","10.8.0.6","1398","243",""
"281","1563306256.910446","137.50.19.137","10.8.0.6","1398","243",""
"282","1563306256.910448","137.50.19.137","10.8.0.6","1398","243",""
"283","1563306256.910883","10.8.0.6","137.50.19.137","52","1806","0.810091000"
"284","1563306256.910926","10.8.0.6","137.50.19.137","52","1829","0.810127000"
"285","1563306256.911514","137.50.19.137","10.8.0.6","1398","243",""
"286","1563306256.911517","137.50.19.137","10.8.0.6","1398","243",""
"287","1563306256.911519","137.50.19.137","10.8.0.6","1398","243",""
"288","1563306256.911521","137.50.19.137","10.8.0.6","1398","243",""
"289","1563306256.959639","10.8.0.6","137.50.19.137","52","1851","0.858837000"
"290","1563306256.959698","10.8.0.6","137.50.19.137","52","1874","0.858894000"
"291","1563306256.960363","137.50.19.137","10.8.0.6","1398","243",""
"292","1563306256.960370","137.50.19.137","10.8.0.6","1398","243",""
"293","1563306256.960373","137.50.19.137","10.8.0.6","1398","243",""
"294","1563306256.960375","137.50.19.137","10.8.0.6","1398","243",""
"295","1563306257.006222","10.8.0.6","137.50.19.137","52","1897","0.905392000"
"296","1563306257.006254","10.8.0.6","137.50.19.137","52","1919","0.905395000"
"297","1563306257.006847","137.50.19.137","10.8.0.6","1398","243",""
"298","1563306257.006853","137.50.19.137","10.8.0.6","1398","243",""
"299","1563306257.006856","137.50.19.137","10.8.0.6","1398","243",""
"300","1563306257.006858","137.50.19.137","10.8.0.6","1398","243",""
"301","1563306257.006899","10.8.0.6","137.50.19.137","52","1942","0.906037000"
"302","1563306257.007495","137.50.19.137","10.8.0.6","1398","243",""
"303","1563306257.007500","137.50.19.137","10.8.0.6","1398","243",""
"304","1563306257.045306","10.8.0.6","137.50.19.137","52","1965","0.944442000"
"305","1563306257.045362","10.8.0.6","137.50.19.137","52","1987","0.943959000"
"306","1563306257.045762","137.50.19.137","10.8.0.6","1398","243",""
"307","1563306257.045764","137.50.19.137","10.8.0.6","1398","243",""
"308","1563306257.045765","137.50.19.137","10.8.0.6","1398","243",""
"309","1563306257.045767","137.50.19.137","10.8.0.6","1398","243",""
"310","1563306257.045804","10.8.0.6","137.50.19.137","52","2010","0.944398000"
"311","1563306257.046352","137.50.19.137","10.8.0.6","1398","243",""
"312","1563306257.046357","137.50.19.137","10.8.0.6","1398","243",""
"313","1563306257.089926","10.8.0.6","137.50.19.137","52","2032","0.988518000"
"314","1563306257.089978","10.8.0.6","137.50.19.137","52","2055","0.988569000"
"315","1563306257.090649","137.50.19.137","10.8.0.6","1398","243",""
"316","1563306257.090655","137.50.19.137","10.8.0.6","1398","243",""
"317","1563306257.090658","137.50.19.137","10.8.0.6","1398","243",""
"318","1563306257.090660","137.50.19.137","10.8.0.6","1398","243",""
"319","1563306257.090998","10.8.0.6","137.50.19.137","52","2078","0.989560000"
"320","1563306257.091046","10.8.0.6","137.50.19.137","52","2100","0.989607000"
"321","1563306257.091599","137.50.19.137","10.8.0.6","1398","243",""
"322","1563306257.091603","137.50.19.137","10.8.0.6","1398","243",""
"323","1563306257.091604","137.50.19.137","10.8.0.6","1398","243",""
"324","1563306257.091606","137.50.19.137","10.8.0.6","1398","243",""
"325","1563306257.134941","10.8.0.6","137.50.19.137","52","2123","1.033500000"
"326","1563306257.134980","10.8.0.6","137.50.19.137","52","2146","1.033538000"
"327","1563306257.135555","137.50.19.137","10.8.0.6","1398","243",""
"328","1563306257.135562","137.50.19.137","10.8.0.6","1398","243",""
"329","1563306257.135573","137.50.19.137","10.8.0.6","1398","243",""
"330","1563306257.135575","137.50.19.137","10.8.0.6","1398","243",""
"331","1563306257.135912","10.8.0.6","137.50.19.137","52","2168","1.034370000"
"332","1563306257.135986","10.8.0.6","137.50.19.137","52","2191","1.034442000"
"333","1563306257.136499","137.50.19.137","10.8.0.6","1398","243",""
"334","1563306257.136503","137.50.19.137","10.8.0.6","1398","243",""
"335","1563306257.136509","137.50.19.137","10.8.0.6","1398","243",""
"336","1563306257.136510","137.50.19.137","10.8.0.6","1398","243",""
"337","1563306257.188433","10.8.0.6","137.50.19.137","52","2213","1.086888000"
"338","1563306257.188485","10.8.0.6","137.50.19.137","52","2236","1.086938000"
"339","1563306257.189146","137.50.19.137","10.8.0.6","1398","243",""
"340","1563306257.189150","137.50.19.137","10.8.0.6","1398","243",""
"341","1563306257.189151","137.50.19.137","10.8.0.6","1398","243",""
"342","1563306257.189153","137.50.19.137","10.8.0.6","1398","243",""
"343","1563306257.227694","10.8.0.6","137.50.19.137","52","2241","1.126121000"
"344","1563306257.227744","10.8.0.6","137.50.19.137","52","2241","1.126167000"
"345","1563306257.228370","137.50.19.137","10.8.0.6","1398","243",""
"346","1563306257.228374","137.50.19.137","10.8.0.6","1398","243",""
"347","1563306257.228376","137.50.19.137","10.8.0.6","1398","243",""
"348","1563306257.228377","137.50.19.137","10.8.0.6","1398","243",""
"349","1563306257.228404","137.50.19.137","10.8.0.6","1398","243",""
"350","1563306257.228406","137.50.19.137","10.8.0.6","1398","243",""
"351","1563306257.228855","10.8.0.6","137.50.19.137","52","2250","1.127207000"
